month,gfcf_real_gdp,money_supply_m1,money_supply_m2,money_supply_m3,money_supply_m4,currency_in_circulation,currency_with_public,demand_deposits,m3_net_bank_credit_govt,bank_credit,sched_banks_liabilities,sched_banks_demand_time_dep,sched_banks_deposits,sched_banks_demand_dep,cash_reserve_ratio,tbill_91day_yield,tbill_364day_yield,exchange_rate_inr_usd,sensex,bse_listed_companies,ceic_leading_indicator,electricity_generation,exports,imports_usd,fuel_power_wpi,foreign_tourist_arrivals
YYYY-MM,INR real const prices — QUARTERLY (blank off-quarter),INR mn,INR mn,INR mn,INR mn,INR mn,INR mn,INR mn,INR mn,INR mn,INR mn,INR mn,INR mn,INR mn,% (rate),% pa,% pa,USD/INR,Index 1978-79=100,count,index,GWh,INR mn,USD mn,Index 2011-12=100,persons
1996-04,1781239217411,2178120,2237550,6092580,6253910,1293570,1255320,869300,2684450,2521490,168040,138860,4524110,771980,13.5,12.4562,12.9944,34.52,3826.72,5596,99.15000445,32256,99801.106,3045,69.49927293,158785
1996-05,,2179700,2239010,6112510,6275090,1326560,1285000,841110,2703840,2506330,202900,139680,4562880,770280,13,12.4137,12.9433,35.09,3724.97,5719,99.58765694,33416,96178.65,3348,69.55872483,132833
1996-06,,2188340,2247490,6195310,6359100,1316070,1271790,849400,2749750,2501130,210440,148110,4634520,796550,13,12.4137,12.9688,35.06,3812.52,5760,95.61267588,30413,92522.282,2868,69.55872483,133154
1996-07,1831670240883,2160170,2219630,6221650,6387620,1292290,1249790,859930,2790110,2508660,232870,156090,4673800,784800,12,9.4585,12.6126,35.68,3536.94,5799,94.70929566,31894,95909.3697,2937,76.15788591,176347
1996-08,,2142020,2201610,6257770,6425150,1251730,1210020,874690,2739340,2487340,175720,153370,4747360,790050,12,9.9621,12.6126,35.68,3514.61,5886,93.25417173,31943,96588.4,3023,76.75240492,167985
1996-09,,2174910,2233760,6383580,6552090,1239160,1197350,917470,2735830,2521080,185090,161460,4847330,825930,12,10.1723,12.6126,35.76,3239.48,5933,90.15203077,31443,94983.76,2959,76.75240492,160840
1996-10,1865631734143,2192570,2251820,6412430,6580300,1279090,1236320,883150,2772420,2553540,182250,158600,4834790,788530,11.5,8.8307,12.0951,35.68,3163.78,5969,93.17264423,33202,95416.594,3228,76.87130872,204126
1996-11,,2218890,2278070,6486520,6654500,1333950,1290170,864680,2811490,2586520,228340,157180,4918870,805220,11,8.1633,10.3996,35.76,2890.5,5988,90.21812694,32644,90314.784,3424,77.22802013,240620
1996-12,,2216930,2276640,6535480,6704530,1335920,1293850,877800,2821480,2613310,222520,166200,4967290,815340,11,8.1633,10.3266,35.93,3085.2,5999,93.82986827,34561,100611.726,3262,77.28747204,273310
1997-01,1923626734029,2263300,2322900,6694110,6862040,1329460,1285880,932590,2848190,2673540,196480,168960,5085280,838750,10,7.498,10.0958,35.88,3382.47,6008,92.93927423,34608,105592.7817,3882,77.28747204,240569
1997-02,,2290510,2350090,6763670,6931640,1352400,1309030,945970,2854440,2682370,190470,159690,5139980,850390,10,7.9551,10.0958,35.89,3651.91,5839,94.72847442,31926,98519.4225,3570,77.28747204,227458
1997-03,,2406150,2469770,6960120,7134910,1372170,1320870,1053340,2886200,2784010,214800,176510,5295850,937940,10,7.9551,10.0958,35.9,3360.89,5832,94.40429984,35837,124376.7168,3564,77.28747204,218411
1997-04,1915311097431,2416140,2478210,7085090,7259560,1435820,1391700,990180,2987540,2763710,231370,180280,5358440,883570,10,6.2151,8.9799,35.78,3841.11,5831,99.36209526,33406,94407.0435,3180,82.51923937,154863
1997-05,,2449980,2511600,7160520,7335850,1486030,1437660,977780,3034890,2771680,258900,171650,5426820,900200,10,6.7521,8.9799,35.79,3755.1,5840,102.5594536,34713,109086.516,3503,82.51923937,137536
1997-06,,2498850,2560060,7243470,7420260,1493700,1443500,1003360,3075680,2761180,278010,179760,5496430,918160,10,7.0004,8.9799,35.82,4256.09,5844,103.8805764,33160,101192.065,3347,82.51923937,143199
1997-07,1935837828798,2449640,2510780,7262050,7440660,1478800,1430930,964220,3132640,2793890,270950,186680,5529410,891150,10,6.7107,8.4246,35.71,4305.76,5844,102.1627252,34693,106813.2312,3553,82.51923937,184324
1997-08,,2385340,2449150,7289290,7471950,1422390,1372940,971170,3066290,2770990,271730,185410,5590560,870860,10,6.5867,8.3306,36.36,3876.08,5848,97.12997744,34733,101507.9615,3060,82.51923937,176675
1997-09,,2430900,2494930,7442520,7627060,1399440,1353820,1035730,3027740,2797340,278910,196200,5739800,934330,10,6.8762,8.4716,36.18,3902.03,5839,99.29412789,34374,109682.1292,3175,87.63210291,160032
1997-10,1991745764141,2450520,2513640,7528220,7713440,1455730,1406040,1008530,3147430,2876270,325590,208560,5951060,913300,9.75,6.2151,7.9797,36.4,3803.24,5842,99.13980369,34893,109414.228,3586,87.69155481,210798
1997-11,,2501400,2565110,7635840,7823260,1492390,1444120,1006900,3181370,2884830,307760,211940,5895320,932230,9.5,6.2151,7.9797,38.57,3560.29,5842,92.96486158,33575,96951.14,3299,87.57265101,249275
1997-12,,2507140,2572000,7683040,7873990,1491260,1444430,1019670,3214680,2947210,306810,211260,5934070,940300,10,7.2076,7.9797,39.28,3658.98,5843,96.19113834,35495,114772.2,3717,87.57265101,270954
1998-01,2004011107320,2515750,2580920,7785870,7977740,1481160,1432860,1048010,3184230,3070610,314310,205770,5982020,936900,10.25,7.332,,38.92,3224.36,5850,103.3932899,38321,116164.059,3575,87.57265101,245706
1998-02,,2531710,2599490,7914080,8109190,1498460,1448600,1056440,3213370,3134560,296030,216300,6111870,946480,10.25,7.332,7.9797,39.3,3622.22,5852,108.5480343,35194,114839.2576,3703,87.69155481,222089
1998-03,,2678440,2755110,8213320,8420590,1510550,1455790,1187250,3305970,3240790,328530,242090,6365970,1061010,10.25,7.332,7.9797,39.5,3892.75,5853,114.1017199,38763,128241.8326,3716,87.92936242,215534
1998-04,2042670099632,2712680,2779820,8368950,8567800,1598980,1547410,1140280,3375490,3215770,321000,244900,6437240,1022950,10,7.332,7.9797,39.73,4006.81,5853,108.7173323,37059,107753.6706,3585,88.76168904,174204
