quarter,gdp_real_inr,bank_credit,crr,crude_petroleum,elec_generation,exchange_rate,exports,fuel_wpi,money_supply_m1,sensex,cement_iip
1996-04-01 00:00:00,1781239217411,19.38720139,13.16666667,-22.81545874,6.632866962,11.07892149,40.46289929,24.51827743,11.85052051,16.89304934,32.9137107
1996-07-01 00:00:00,1831670240883,16.42953831,12,-25.37939201,10.3205561,10.27880673,22.21457236,27.06163821,11.30497856,0.7265433402,31.283667
1996-10-01 00:00:00,1865631734143,12.189308,11.16666667,-10.38990085,15.46504799,2.513529156,-4.120612312,27.23631958,11.36986115,-3.954965892,30.73208655
1997-01-01 00:00:00,1923626734029,9.773540583,10,-23.46403302,11.6225487,1.785535735,13.32915986,27.25029409,12.82332312,7.621021929,36.42900697
1997-04-01 00:00:00,1915311097431,10.19690618,10,11.03695572,16.47892407,2.604213588,8.670624201,29.09492938,12.50564609,4.273155849,35.53989222
1997-07-01 00:00:00,1935837828798,11.24385522,10,14.90832669,26.83188292,1.054802319,29.1615806,29.68884605,12.17661584,17.49133594,31.91757288
1997-10-01 00:00:00,1991745764141,12.31623,9.75,3.035705718,10.64751371,6.399854666,20.15759183,30.87667938,12.52913324,20.66061195,36.00091468
1998-01-01 00:00:00,2004011107320,16.03898878,10.25,23.3935317,29.12965032,9.333931906,1.029927941,30.95353919,11.0002971,3.44586032,39.86197779
1998-04-01 00:00:00,2042670099632,15.94688712,10,-11.19538816,30.25432457,15.18630386,-26.34435652,31.22604213,11.45947541,-7.046180579,37.02998267
1998-07-01 00:00:00,2081624167584,16.87449204,10.66666667,-11.40753033,16.66534908,17.88235973,-12.14651389,30.91161566,11.62112642,-23.40753346,33.28417518
1998-10-01 00:00:00,2130956689747,16.68224143,11,-11.92007564,17.02543934,11.6913514,-11.06628997,30.91860291,12.20073797,-21.20034842,37.4663075
1999-01-01 00:00:00,2171894132137,13.44419201,10.83333333,-1.334245972,14.43991846,8.244375155,-8.900861048,31.37976173,14.80066439,-2.413778935,43.71480836
1999-04-01 00:00:00,2284961162015,14.64732674,10.16666667,2.389396253,13.76338291,4.367336889,18.1170949,32.05752546,14.32331193,5.966570635,44.84266688
1999-07-01 00:00:00,2331170839528,15.36378106,10,2.097510226,30.63291982,2.178934607,37.77439531,32.56060781,14.57289934,53.99357918,38.7588169
1999-10-01 00:00:00,2337801823896,18.48301612,9.333333333,-11.46328139,15.79682591,2.228485122,36.23584441,35.04807055,15.93799121,62.10561196,41.51671912
2000-01-01 00:00:00,2417942998938,19.06932265,9,-23.716301,17.61653893,2.684099471,37.20820898,37.68226565,13.91116141,50.31451754,47.99573121
2000-04-01 00:00:00,2362910579549,22.14505906,8,-9.187887396,15.22332133,3.022535078,79.89352648,40.64486173,12.66656128,22.19709486,46.47271058
2000-07-01 00:00:00,2358443845840,23.83631235,8.416666667,0.1174633663,4.265439625,4.967899515,49.38322595,42.69911467,11.27588427,-9.506273924,39.73848963
2000-10-01 00:00:00,2336436070628,21.23640126,8.5,15.96677518,30.33651521,7.72727081,60.42340095,45.81543035,11.40871948,-16.88632655,41.56611439
2001-01-01 00:00:00,2313347117714,18.8845571,8.25,4.448235102,4.287991852,6.741043841,53.58700405,46.48620682,9.622259271,-22.27957032,43.7230409
2001-04-01 00:00:00,2464049772169,15.18995219,7.666666667,-12.61629817,5.946749523,6.005793433,0.1066324362,46.62595192,12.05533517,-23.24366169,47.56763893
2001-07-01 00:00:00,2448234194100,14.30199654,7.5,-4.410898462,13.84509021,3.885428038,-7.058431423,47.14999603,12.36724775,-26.99940412,41.61550965
2001-10-01 00:00:00,2549972613456,13.53408372,6.25,0.4348751344,5.961216712,2.671330018,-11.93314448,48.11423721,10.46501318,-18.36188444,44.85913197
